Municipio,Población,Latitud,Longitud,Distancia (km),Ponderado
Granada,235294,37.08179239,-3.760625193,188.13950939626764,44268097.7238854
Málaga,586000,36.70586663,-4.499157357,138.84030283375145,81360417.46057835
Córdoba,323000,37.85938782,-4.781393825,113.07010845863773,36521645.03213999
Badolatosa,3058,37.308,-4.673,105.39147667092747,322287.13565969624
Casariche,5291,37.291,-4.759,97.82876994969155,517612.021803818
"Roda de Andalucía, La",4168,37.201,-4.777,97.08036910289125,404630.97842085076
Huelva,142000,37.26198627,-6.942866277,95.56161111225234,13569748.777939832
Lora de Estepa,890,37.269,-4.828,91.84305453110802,81740.31853268614
Herrera,6575,37.363,-4.851,89.7781271605906,590291.1860808831
Alanís,1638,38.098,-5.715,88.13668879067957,144367.89623913314
Estepa,12430,37.289,-4.878,87.31559207910769,1085332.8095433086
Guadalcanal,2544,38.091,-5.82,86.45875516991512,219951.07315226406
Pedrera,5057,37.223,-4.896,86.31446519692142,436492.25050083164
Gilena,3647,37.238,-4.914,84.54106178659653,308321.25233571755
Cádiz,420000,36.60933609,-6.203939472,83.98050329643601,35271811.384503126
Martín de la Jara,2627,37.108,-4.962,83.1616843010439,218465.74465884233
"Corrales, Los",4021,37.143,-4.981,80.52013588366654,323771.46638822317
Marinaleda,2562,37.371,-4.957,80.4867424855318,206207.0342479325
San Nicolás del Puerto,604,37.993,-5.639,78.04305654101299,47138.00615077184
"Rubio, El",3287,37.355,-4.988,77.63916805179826,255199.9453862609
Aguadulce,2109,37.253,-4.993,77.41740431642737,163273.3057033453
"Navas de la Concepción, Las",1501,37.931,-5.466,77.04352238161341,115642.32709480173
"Real de la Jara, El",1517,37.95,-6.155,75.1723777387136,114036.49702962855
Écija,39659,37.542,-5.079,73.8521621764028,2928902.8997539585
Saucejo,4189,37.069,-5.097,73.26396037999616,306902.73003180395
Algámitas,1258,37.016,-5.148,71.64241826831667,90126.16218154237
Cazalla de la Sierra,4626,37.93,-5.759,69.09654142886804,319640.6006499435
Pruna,2461,36.973,-5.223,68.37095150700084,168260.91165872908
Osuna,17396,37.237,-5.106,67.67455146959188,1177266.4973650202
"Castillo de las Guardas, El",1501,37.808,-6.313,67.64501915669308,101535.17375419631
"Puebla de los Infantes, La",2949,37.778,-5.388,66.52019436247191,196168.05317492966
Constantina,5745,37.874,-5.62,65.8671562425879,378406.81261366745
Cañada Rosal,3481,37.598,-5.211,65.76032044921773,228911.67548372693
Almadén de la Plata,1328,37.873,-6.08,64.96123589226357,86268.52126492602
Peñaflor,3628,37.708,-5.345,63.385743478756524,229963.47734092866
Villanueva de San Juan,986,37.061,-5.247,61.53689727492265,60675.38071307373
"Pedroso, El",2062,37.842,-5.762,59.375161705077694,122431.58343587021
